Analysis,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,ARCH.LM,entropy,flat_spots,arch_acf,garch_acf,arch_r2,garch_r2,alpha,beta,lumpiness,max_kl_shift,time_kl_shift,max_level_shift,time_level_shift,max_var_shift,nonlinearity,x_pacf5,diff2x_pacf5,stability,trend,spike,linearity,curvature,e_acf1,unitroot_kpss,firstzero_ac,fluctanal_prop_r1,histogram_mode,localsimple_taures,motiftwo_entro3,outlierinclude_mdrmd,sampenc,std1st_der,trev_num,spreadrandomlocal_meantaul,walker_propcross,avg_rR45CO244CO2,avg_rR46CO244CO2,avg_d13C12C,sd_d13C12C,avg_d18O16O,avg_pkArea,sd_pkArea,avg_d18O13C,sd_d18O13C,avg_calib_d18O16O,sd_calib_d18O16O,biotic,pred
2960,0.937508225416212,2.26874117197231,0.723942559711042,0.744535485254035,0.999476760973535,0.657409696227695,260,0.437579956858615,0.0195085301030631,0.298261400623505,0.0297500149303663,0.999899941835944,0.999899941138927,0.0785305536536002,4070.36101499471,133,3.80277486577568,1296,2.70675835460919,0.0431261912003007,2.24782072612309,1.67594998293416,0.937841416268832,0.191251490028127,2.52068907788459e-07,-9.23426739736784,6.48774799009237,0.993951998062077,1.24619300787353,66,0.408163265306122,-0.25,10,0.552533512715665,-0.507910656119125,0.01150116696327,0.0987636212010484,0.000858959967816376,15.22,0.0204794042355132,1.17695598666667,1.41500216255556,-13.8290362166667,0.0975174792427597,-4.28438680944444,19.4500799055556,2.77877088185601,0.309811154111111,0.00294709407855579,-3.70052951684039,0.0517102521197961,biotic,biotic
2961,0.940348074227005,2.32307848377688,0.734317482936473,0.768712115922022,0.999558832251419,0.661853430373406,260,0.470711065346054,0.0185556121913256,0.318128539196975,0.0286546729325349,0.999899992040034,0.99989740407261,0.0889617171250669,4206.86174864629,133,3.99369925336236,1296,2.9928632378497,0.0437284630411134,2.2579704132613,1.69541643475158,0.934654712040314,0.176860514285184,2.91596848621079e-07,-8.82682980843795,5.78516581533872,0.993837824323433,1.12776553579851,64,0.408163265306122,-0.25,10,0.552896784080831,-0.00558399255467656,0.0114325291948578,0.100622620942449,0.00102329072735499,15.18,0.0204794042355132,1.17887469811111,1.41099284733333,-11.96684183,0.0416219575138817,-7.11552770011111,20.7095828422222,3.16444364636998,0.594604007222222,0.00317916628608444,-6.60157325789624,0.0457441190644245,biotic,biotic
2962,0.931846162460379,2.1451991659971,0.709178032312145,0.723340985434706,0.999326251022755,0.648729344465584,260,0.418988460120374,0.0142832284033311,0.27998895385395,0.0218040401264188,0.999899977972045,0.999899930532977,0.0662274785783205,3851.61624343326,133,3.54727925080717,1296,2.35246570088461,0.0382594579472788,2.237391613017,1.65183363026862,0.942804501504577,0.217596341530184,1.95878855976375e-07,-10.1306677625626,7.64441876358008,0.994096077397516,1.50576961100905,69,0.469387755102041,-0.25,10,0.55107658634389,-0.512563983248022,0.0113620360173334,0.0958889232301326,0.000616501288710466,14.66,0.022806609262276,1.18001923222222,1.41185914233333,-10.9508220488889,0.139097554681207,-6.48668720666667,16.9749248388889,2.45769713594036,0.592454718222222,0.00983973832132181,-5.95720625248031,0.0359758444470491,biotic,abiotic
2966,0.928777584938129,2.0808005741509,0.702315074583893,0.716598614461487,0.999260129658065,0.644267757594016,260,0.390435988520631,0.0155608633006603,0.262589705918602,0.0236481566569173,0.999898985930075,0.999898977337891,0.0609272438129944,3852.68849499745,133,3.39565524972836,1296,2.15182902651341,0.034660015304092,2.23244217849351,1.64399441579992,0.945299271900435,0.231776793290066,1.70211290139048e-07,-10.5812921683257,8.24950218667803,0.994182155420872,1.64617545011496,70,0.489795918367347,-0.25,10,0.550345812791181,-0.514192647743136,0.0113012306897143,0.0942712254284853,0.000496981213135167,15.32,0.0186176402141029,1.17990736622222,1.412252579,-11.0984557555556,0.160639826271905,-6.33353877033333,15.7979935333333,2.28621071555257,0.570764188555556,0.00784079793026922,-5.80027647405,0.0298598220335378,biotic,abiotic
2970,0.936240183777734,2.23544762068569,0.721650577790355,0.742981720296924,0.999444505681763,0.654994826829773,260,0.442017875511218,0.0236688189914619,0.297099942675321,0.0366747367733552,0.999899996041774,0.954342926306509,0.0742660598129044,4133.26157491594,133,3.71228348889815,1296,2.58087933011562,0.0431599152860369,2.24598870940682,1.67901932342227,0.939166687229721,0.198649145340657,2.33614261361251e-07,-9.45988344247435,6.86824806053469,0.993980431040002,1.31428555877233,67,0.408163265306122,-0.25,10,0.551441394903152,-0.50860865518846,0.0115013386933357,0.0980522952457602,0.000791321431049086,15.32,0.0190830812194554,1.17719942155556,1.41518792155556,-13.5696767455556,0.12811261618581,-4.37344150511111,18.5908931722222,2.57256507395546,0.322316054333333,0.00342020771772899,-3.79178303528136,0.0334259318329615,biotic,biotic
2972,0.94098881548637,2.33644488535843,0.737090783737752,0.775283317511256,0.999576933185088,0.662395869876887,261,0.467330518186625,0.0237172279918525,0.316324624278431,0.0357529972640541,0.999899992894859,0.999899971487195,0.0896522892895048,4088.99097779683,4038,4.04550391105164,1296,3.07215257758975,0.0431111726161213,2.26075466455534,1.70857140212207,0.934478999930973,0.174790184452982,2.999840878435e-07,-8.78623322478512,5.67496917573931,0.993819656650137,1.11398132145697,64,0.408163265306122,-0.25,10,0.553259672181557,-0.0226849697533737,0.0114961804969927,0.100905999791953,0.00106006629907701,15.45,0.0218757272515709,1.17888736666667,1.41095177,-11.7036672,0.0239543274529197,-6.820315067,20.7926380266667,3.23242146265985,0.582750199555556,0.00204483195814441,-6.29907161822478,0.0285672683088137,biotic,biotic
2973,0.937189991745845,2.25749617818948,0.724197533467077,0.746917037928899,0.999472625683023,0.656734009011164,260,0.443073390833627,0.0204290755551944,0.299168787707596,0.0315549479027503,0.999899998973644,0.999865794918681,0.0763406395922924,4071.80706837292,133,3.78111306734316,1296,2.67469275760803,0.0431857598439453,2.24839211878535,1.68344552832007,0.938465388900082,0.19400250547925,2.45956961341918e-07,-9.33248002691584,6.63418482205494,0.99395436570707,1.2746624825356,66,0.408163265306122,-0.25,10,0.552169857673616,-0.50814332247557,0.0113622382127072,0.0985662029851944,0.000840462366737451,14.88,0.0190830812194554,1.176757149,1.41446869677778,-13.7576544955556,0.121664957825384,-4.35590926111111,18.9760795855556,2.69723536173461,0.316629379777778,0.0025653658951975,-3.77381790790443,0.0336170133800643,biotic,biotic
2976,0.940013306539131,2.32235412960297,0.731959114273137,0.760323933912733,0.999549220266795,0.661386189611181,260,0.463064291006696,0.01377675051425,0.313879653316753,0.0219446410200798,0.99989999031549,0.999899868074633,0.0857008387772275,3929.55155331572,133,4.00375932212614,1296,3.00155867976404,0.0426387931217523,2.25615540206408,1.68850656199735,0.93572958931228,0.178557393086988,2.89775423989306e-07,-8.8870372607638,5.83775285864094,0.993855358508139,1.1421871535273,64,0.408163265306122,-0.25,10,0.553259672181557,-0.120521172638437,0.0114868636083621,0.10037184630706,0.00101158253415313,15.5,0.0223411682569234,1.17884756877778,1.41175669333333,-11.9509188055556,0.0214783319402224,-6.744631781,20.5064312044444,3.19605280968491,0.564362483444444,0.00272420248836826,-6.22151965891514,0.0311817179312663,biotic,biotic
2977,0.937660186034408,2.27475086926504,0.723783479537742,0.741942241402292,0.999481941120534,0.657575879907254,260,0.443880961999161,0.0129058208643108,0.301315140850908,0.0205712739536469,0.999899999504712,0.999899955772161,0.0764749720806525,3857.10798614524,133,3.81873707012514,1296,2.72039418517149,0.0428606626315085,2.24871849441967,1.67335367326274,0.938526691650277,0.190369317435666,2.55724360792179e-07,-9.1792737439936,6.45255399468333,0.993931940890216,1.23314877267301,66,0.408163265306122,-0.25,10,0.552169857673616,-0.507794322940903,0.0114863332649206,0.0989840716417017,0.000879807096155382,15.06,0.0176867582033977,1.17738802522222,1.4149528,-13.3457517511111,0.117008231567239,-4.34832065311111,19.4401924966667,2.76056440965637,0.325820288444444,0.0021886709221872,-3.76604193186088,0.0495825772087714,biotic,biotic
2978,0.940466949832111,2.32914024372588,0.734035279777119,0.765884567359982,0.999560903908599,0.662285313200926,260,0.469094485936993,0.01445270866438,0.317377673693365,0.0226590225468981,0.999899990999362,0.999899917878434,0.0863537671528413,3952.13313166705,133,4.02853382445381,1296,3.02928055200014,0.0428062478335979,2.25887709052304,1.69219607031482,0.935403314596487,0.175793671150912,2.97540053292031e-07,-8.80133369360188,5.71571273845943,0.993823452861514,1.1193117049869,64,0.408163265306122,-0.25,10,0.552533512715665,-0.0416472778036296,0.0114826803790673,0.100809954608151,0.00104628493757541,15.78,0.0209448452408657,1.17919271633333,1.41121069577778,-11.5887532188889,0.01298386952225,-6.89465439211111,20.75314784,3.23644053614894,0.594945945,0.00363727473022105,-6.37524643331041,0.0385035588505054,biotic,biotic
