Analysis,diff2_acf1,time_kl_shift,trend,fluctanal_prop_r1,avg_rR45CO244CO2,avg_rR46CO244CO2,avg_R45CO244CO2,avg_rd45CO244CO2,avg_d45CO244CO2,avg_R13C12C,sd_R13C12C,avg_d13C12C,sd_d13C12C,sd_d18O13C,biotic,pred
2960,0.723942559711042,133,0.191251490028127,0.408163265306122,1.17695598666667,1.41500216255556,0.0118284601111111,23.6189332666667,-13.0491486711111,0.0110255886666667,1.09038296024826e-06,-13.8290362166667,0.0975174792427597,0.00294709407855579,biotic,biotic
2961,0.734317482936473,133,0.176860514285184,0.408163265306122,1.17887469811111,1.41099284733333,0.0118481013333333,25.3186351388889,-11.4103335266667,0.0110464084444444,4.65395291959154e-07,-11.96684183,0.0416219575138817,0.00317916628608444,biotic,biotic
2962,0.709178032312145,133,0.217596341530184,0.469387755102041,1.18001923222222,1.41185914233333,0.0118597222222222,26.3243235266667,-10.4406709144444,0.0110577675555556,1.55510032723876e-06,-10.9508220488889,0.139097554681207,0.00983973832132181,biotic,biotic
2963,0.73486654454544,133,0.176336796397688,0.408163265306122,1.178937144,1.41103165833333,0.0118485856666667,25.3605674277778,-11.3699033355556,0.0110469133333333,1.32602790317273e-07,-11.9216775244444,0.0118441230815232,0.0027731752379434,biotic,biotic
2965,0.724102624375132,133,0.192952297788881,0.408163265306122,1.17691026244444,1.41445804344444,0.0118314116666667,23.8743522766667,-12.80287928,0.0110285252222222,1.3278397661031e-06,-13.5663817422222,0.11876739443686,0.00300630259428243,biotic,biotic
2966,0.702315074583893,133,0.231776793290066,0.489795918367347,1.17990736622222,1.412252579,0.0118581355555556,26.1870049733333,-10.5730704433333,0.0110561171111111,1.79598736385071e-06,-11.0984557555556,0.160639826271905,0.00784079793026922,biotic,biotic
2968,0.737471572424029,133,0.174324658170906,0.408163265306122,1.17962835066667,1.41443000088889,0.011859052,26.2663101788889,-10.4966061055556,0.0110561907777778,4.03003032798274e-07,-11.09186659,0.0360320578918859,0.00416826624069211,biotic,biotic
2970,0.721650577790355,133,0.198649145340657,0.408163265306122,1.17719942155556,1.41518792155556,0.0118313226666667,23.86666205,-12.8102940277778,0.0110284884444444,1.43225400253508e-06,-13.5696767455556,0.12811261618581,0.00342020771772899,biotic,biotic
2973,0.724197533467077,133,0.19400250547925,0.408163265306122,1.176757149,1.41446869677778,0.0118292284444444,23.6854212188889,-12.98504245,0.0110263865555556,1.3603736721129e-06,-13.7576544955556,0.121664957825384,0.0025653658951975,biotic,biotic
2976,0.731959114273137,133,0.178557393086988,0.408163265306122,1.17884756877778,1.41175669333333,0.0118484335555556,25.3474125344444,-11.3825869922222,0.0110465864444444,2.40213504570321e-07,-11.9509188055556,0.0214783319402224,0.00272420248836826,biotic,biotic
2977,0.723783479537742,133,0.190369317435666,0.408163265306122,1.17738802522222,1.4149528,0.0118338366666667,24.0842183355556,-12.6005310433333,0.0110309918888889,1.30811414299782e-06,-13.3457517511111,0.117008231567239,0.0021886709221872,biotic,biotic
2978,0.734035279777119,133,0.175793671150912,0.408163265306122,1.17919271633333,1.41121069577778,0.0118524203333333,25.6924064266667,-11.0499514788889,0.0110506354444444,1.4532903281124e-07,-11.5887532188889,0.01298386952225,0.00363727473022105,biotic,biotic
2983,0.73184570009205,4038,0.178259897976919,0.408163265306122,1.17860544077778,1.41125876011111,0.0118489591111111,25.3928859933333,-11.3387424866667,0.0110470494444444,1.98781985546295e-07,-11.9094940433333,0.0177828666015397,0.00320350516018407,biotic,biotic
2984,0.696022853114239,4038,0.240258430152752,0.489795918367347,1.17924927477778,1.41174144311111,0.0118552973333333,25.9413881244444,-10.8098888011111,0.0110532506666667,1.69883298178491e-06,-11.3548480177778,0.151964786999846,0.00676734659886604,biotic,biotic
2986,0.727765982158005,4038,0.183940317280623,0.408163265306122,1.17668053955556,1.41418745366667,0.0118301052222222,23.7613115444444,-12.9118706677778,0.0110273217777778,1.32826745968004e-06,-13.6740059855556,0.118810060883835,0.00440815324877648,biotic,biotic
2987,0.726269254717448,133,0.18873350638526,0.408163265306122,1.17669532466667,1.41431463522222,0.0118298008888889,23.7349566388889,-12.9372814877778,0.0110269952222222,1.38245214906152e-06,-13.7032258122222,0.123659517016832,0.00296667845579847,biotic,biotic
2988,0.732850522793103,133,0.178574594670122,0.408163265306122,1.17932923933333,1.41446086677778,0.0118558083333333,25.9856091788889,-10.7672518322222,0.0110529764444444,3.16800059623963e-07,-11.3793742955556,0.028332530623066,0.00251101721523627,biotic,biotic
2990,0.734575361336977,133,0.175915501340892,0.408163265306122,1.17951117788889,1.41458476155556,0.0118571137777778,26.0985795688889,-10.65832827,0.011054282,2.99550079285522e-07,-11.26257598,0.0267949586255287,0.00404298223419873,biotic,biotic
2992,0.731436160055935,133,0.179269384855276,0.408163265306122,1.17877439555556,1.41163492077778,0.0118494665555556,25.4368069133333,-11.2963949022222,0.0110475527777778,3.98417111134269e-07,-11.8644605866667,0.0356455441024794,0.00313763630518926,biotic,biotic
2993,0.719217294094514,133,0.199049513639247,0.408163265306122,1.17682259888889,1.41454808,0.0118293345555556,23.6945831588889,-12.9762087077778,0.0110265584444444,1.09164452903751e-06,-13.74228158,0.0976272427653827,0.00402060592067009,biotic,biotic
2995,0.735594371840811,4038,0.173893532833863,0.408163265306122,1.17912426766667,1.41141257277778,0.011852938,25.7372019855556,-11.0067605811111,0.0110511067777778,2.65752129708307e-07,-11.5465919511111,0.0237680748809034,0.00429856397302862,biotic,biotic
2996,0.734123150665073,133,0.174575627672014,0.408163265306122,1.17885379933333,1.41183122755556,0.0118498012222222,25.4657671522222,-11.2684720777778,0.0110478378888889,3.20261394974716e-07,-11.8389821211111,0.0286443555247492,0.00366895909271947,biotic,biotic
2998,0.753710623560141,133,0.147611656335887,0.346938775510204,1.18044714444444,1.41221649922222,0.0118666922222222,26.9275006711111,-9.85910078188889,0.011064607,2.33218063194074e-06,-10.3390775655556,0.208589592639748,0.0102724238585687,biotic,abiotic
3001,0.729727337990705,4038,0.182704083040281,0.408163265306122,1.17686168944444,1.41469138555556,0.0118304912222222,23.7947064422222,-12.8796720411111,0.0110277056666667,1.27977449185409e-06,-13.6396812322222,0.114463340070984,0.00232315873361206,biotic,biotic
3231,0.735480815023568,133,0.169917371477989,0.346938775510204,1.17996304933333,1.414867835,0.0118602631111111,26.3711176688889,-10.39555303,0.0110572496666667,3.23617830164034e-07,-10.9971480411111,0.0289294142698908,0.0033959946026644,abiotic,abiotic
3241,0.732502771992135,133,0.173267700648057,0.346938775510204,1.17883282988889,1.41134105988889,0.011852008,25.6567459244444,-11.0843345444444,0.0110501425555556,2.24610279768698e-07,-11.6328333,0.0200922849242074,0.00483578164373843,abiotic,abiotic
3242,0.729205564674951,133,0.178445496938196,0.346938775510204,1.178482754,1.41141519644444,0.0118485797777778,25.3600632111111,-11.3703894933333,0.0110466684444444,3.3360871957693e-07,-11.9435554822222,0.0298345369770439,0.00204665498627708,abiotic,abiotic
3250,0.7277659492201,133,0.175502036956092,0.346938775510204,1.17843632311111,1.41150900711111,0.0118482067777778,25.3278060788889,-11.4014911088889,0.0110462922222222,2.21610456532141e-07,-11.9772244633333,0.0198129326057364,0.00315568838852839,abiotic,abiotic
