Analysis,fluctanal_prop_r1,motiftwo_entro3,walker_propcross,avg_rR45CO244CO2,avg_rR46CO244CO2,avg_R45CO244CO2,sd_R13C12C,biotic,pred
2960,0.408163265306122,0.552533512715665,0.0204794042355132,1.17695598666667,1.41500216255556,0.0118284601111111,1.09038296024826e-06,biotic,biotic
2961,0.408163265306122,0.552896784080831,0.0204794042355132,1.17887469811111,1.41099284733333,0.0118481013333333,4.65395291959154e-07,biotic,biotic
2962,0.469387755102041,0.55107658634389,0.022806609262276,1.18001923222222,1.41185914233333,0.0118597222222222,1.55510032723876e-06,biotic,biotic
2963,0.408163265306122,0.552896784080831,0.0246683732836863,1.178937144,1.41103165833333,0.0118485856666667,1.32602790317273e-07,biotic,biotic
2965,0.408163265306122,0.55107658634389,0.0190830812194554,1.17691026244444,1.41445804344444,0.0118314116666667,1.3278397661031e-06,biotic,biotic
2966,0.489795918367347,0.550345812791181,0.0186176402141029,1.17990736622222,1.412252579,0.0118581355555556,1.79598736385071e-06,biotic,biotic
2968,0.408163265306122,0.553622177429102,0.0209448452408657,1.17962835066667,1.41443000088889,0.011859052,4.03003032798274e-07,biotic,biotic
2970,0.408163265306122,0.551441394903152,0.0190830812194554,1.17719942155556,1.41518792155556,0.0118313226666667,1.43225400253508e-06,biotic,biotic
2973,0.408163265306122,0.552169857673616,0.0190830812194554,1.176757149,1.41446869677778,0.0118292284444444,1.3603736721129e-06,biotic,biotic
2976,0.408163265306122,0.553259672181557,0.0223411682569234,1.17884756877778,1.41175669333333,0.0118484335555556,2.40213504570321e-07,biotic,biotic
2977,0.408163265306122,0.552169857673616,0.0176867582033977,1.17738802522222,1.4149528,0.0118338366666667,1.30811414299782e-06,biotic,biotic
2978,0.408163265306122,0.552533512715665,0.0209448452408657,1.17919271633333,1.41121069577778,0.0118524203333333,1.4532903281124e-07,biotic,biotic
2983,0.408163265306122,0.553259672181557,0.0209448452408657,1.17860544077778,1.41125876011111,0.0118489591111111,1.98781985546295e-07,biotic,biotic
2984,0.489795918367347,0.550345812791181,0.0186176402141029,1.17924927477778,1.41174144311111,0.0118552973333333,1.69883298178491e-06,biotic,biotic
2986,0.408163265306122,0.552533512715665,0.0181521992087503,1.17668053955556,1.41418745366667,0.0118301052222222,1.32826745968004e-06,biotic,biotic
2987,0.408163265306122,0.552896784080831,0.0200139632301606,1.17669532466667,1.41431463522222,0.0118298008888889,1.38245214906152e-06,biotic,biotic
2988,0.408163265306122,0.552896784080831,0.0186176402141029,1.17932923933333,1.41446086677778,0.0118558083333333,3.16800059623963e-07,biotic,biotic
2990,0.408163265306122,0.553622177429102,0.0190830812194554,1.17951117788889,1.41458476155556,0.0118571137777778,2.99550079285522e-07,biotic,biotic
2992,0.408163265306122,0.553622177429102,0.0214102862462183,1.17877439555556,1.41163492077778,0.0118494665555556,3.98417111134269e-07,biotic,biotic
2993,0.408163265306122,0.552896784080831,0.019548522224808,1.17682259888889,1.41454808,0.0118293345555556,1.09164452903751e-06,biotic,biotic
2995,0.408163265306122,0.552896784080831,0.0200139632301606,1.17912426766667,1.41141257277778,0.011852938,2.65752129708307e-07,biotic,biotic
2996,0.408163265306122,0.552533512715665,0.0181521992087503,1.17885379933333,1.41183122755556,0.0118498012222222,3.20261394974716e-07,biotic,biotic
2998,0.346938775510204,0.555428975180965,0.0204794042355132,1.18044714444444,1.41221649922222,0.0118666922222222,2.33218063194074e-06,biotic,abiotic
3001,0.408163265306122,0.553622177429102,0.0186176402141029,1.17686168944444,1.41469138555556,0.0118304912222222,1.27977449185409e-06,biotic,biotic
3231,0.346938775510204,0.555068378071516,0.0204794042355132,1.17996304933333,1.414867835,0.0118602631111111,3.23617830164034e-07,abiotic,abiotic
3241,0.346938775510204,0.553984300233548,0.0158249941819874,1.17883282988889,1.41134105988889,0.011852008,2.24610279768698e-07,abiotic,abiotic
3242,0.346938775510204,0.5543460410038,0.022806609262276,1.178482754,1.41141519644444,0.0118485797777778,3.3360871957693e-07,abiotic,abiotic
3250,0.346938775510204,0.553984300233548,0.022806609262276,1.17843632311111,1.41150900711111,0.0118482067777778,2.21610456532141e-07,abiotic,abiotic
3253,0.346938775510204,0.554707400147599,0.0190830812194554,1.17978065222222,1.41538328066667,0.0118602278888889,3.16128314313958e-07,abiotic,abiotic
3255,0.346938775510204,0.553984300233548,0.0200139632301606,1.177058279,1.416339101,0.0118273685555556,1.73700063167636e-06,abiotic,abiotic
3256,0.346938775510204,0.5543460410038,0.0204794042355132,1.17709573977778,1.41635570444444,0.0118273745555556,1.9596767448853e-06,abiotic,abiotic
3259,0.346938775510204,0.555068378071516,0.0200139632301606,1.17940076422222,1.41267137233333,0.0118516535555556,3.1366622387488e-07,abiotic,abiotic
3260,0.346938775510204,0.555068378071516,0.0190830812194554,1.17836578144444,1.41127155488889,0.0118485756666667,2.98766398899141e-07,abiotic,abiotic
3263,0.346938775510204,0.555068378071516,0.019548522224808,1.17911943144444,1.41260325333333,0.0118489301111111,2.58608187118066e-07,abiotic,abiotic
3265,0.346938775510204,0.555428975180965,0.0223411682569234,1.180297011,1.41613364,0.0118606845555556,3.23479176729277e-07,abiotic,abiotic
