Analysis,avg_d13C12C,avg_calib_d18O16O,biotic,pred
5949,-12.4429242288889,-3.81147827410589,abiotic,abiotic
5950,-12.1584579244444,-9.07922432269768,abiotic,biotic
5952,-13.3954761544444,-4.4900864279944,abiotic,abiotic
5953,-13.4735790733333,-9.20015129308316,abiotic,abiotic
5954,-14.2449314444444,-4.75451421685841,biotic,biotic
5955,-14.0403141855556,-4.71266322179545,biotic,biotic
5956,-13.1151396822222,-3.70817120789835,abiotic,abiotic
5957,-12.7550597277778,-9.25867146851651,abiotic,abiotic
5959,-13.5316699188889,-3.82165041973024,biotic,biotic
5960,-12.69113766,-3.65464977226186,biotic,abiotic
