Analysis,avg_calib_d18O16O,avg_d13C12C,biotic,pred
5878,-3.633326456861,-11.9948002655556,abiotic,abiotic
5880,-4.9228432953635,-13.3206457833333,abiotic,abiotic
5882,-4.17740609891797,-12.9343480177778,biotic,abiotic
5884,-6.23568134608961,-13.40334027,biotic,abiotic
5887,-5.21766533291875,-14.4639111677778,biotic,biotic
5889,-4.78070471990753,-14.0011941722222,biotic,abiotic
5892,-4.53977599927385,-13.8770578611111,biotic,abiotic
5893,-4.36113957482606,-14.2222362744444,biotic,biotic
5894,-9.19300843342697,-13.88241379,biotic,biotic
5895,-4.01983089224571,-12.7778489244444,abiotic,biotic
5897,-6.12332150584592,-13.0732741055556,biotic,abiotic
5898,-3.78334084241363,-11.9976247455556,abiotic,abiotic
5900,-4.05528907368327,-13.28340894,abiotic,abiotic
5901,-3.99050857663446,-13.73440853,biotic,biotic
5902,-4.13610349331252,-11.9708312855556,abiotic,abiotic
5904,-4.72593351301551,-13.5681928077778,abiotic,abiotic
5905,-9.19911294402074,-12.7420485355556,abiotic,abiotic
5907,-9.2686942031596,-14.0280773622222,biotic,biotic
5908,-3.85263188956858,-13.4568356688889,biotic,biotic
5909,-5.04132891067672,-14.0077872922222,biotic,abiotic
5911,-4.52019690875584,-14.4051679477778,biotic,biotic
5912,-3.99195312862366,-12.7787199188889,biotic,abiotic
5914,-3.87639700288703,-13.2214460744444,abiotic,abiotic
5917,-9.25398904284702,-13.6182948933333,biotic,abiotic
5918,-4.251020008532,-14.3813446355556,biotic,biotic
5919,-4.11026675845218,-12.82891191,abiotic,abiotic
5920,-3.77355043928287,-13.2771588033333,biotic,abiotic
5924,-4.67214537975989,-14.0000233044444,abiotic,biotic
5925,-5.21432665662646,-13.9718803511111,abiotic,biotic
5926,-4.8405025822163,-14.51034268,biotic,biotic
5927,-9.10445280498194,-12.6038483766667,abiotic,biotic
5928,-4.84770491518785,-14.2175604811111,abiotic,biotic
5929,-3.94140496387377,-13.8286447677778,biotic,biotic
5930,-3.95396866027045,-12.77259119,abiotic,biotic
5931,-4.70840999563608,-13.4642392711111,abiotic,abiotic
5934,-9.21236123494659,-12.8346836711111,abiotic,abiotic
5935,-3.8980339094356,-13.13631343,biotic,abiotic
5938,-3.95494500748804,-13.3991076433333,biotic,abiotic
5939,-4.13391047820502,-12.70876074,biotic,abiotic
5941,-4.3428777910565,-12.7644943266667,abiotic,abiotic
5944,-3.86725459837792,-12.9037756011111,biotic,abiotic
5945,-3.6754693262707,-12.8055664011111,abiotic,biotic
5946,-6.17810976149319,-12.9645901588889,abiotic,biotic
5948,-9.11646501459948,-12.61056295,biotic,abiotic
5949,-3.81147827410589,-12.4429242288889,abiotic,abiotic
5950,-9.07922432269768,-12.1584579244444,abiotic,abiotic
5951,-3.82917201337573,-13.1947528377778,abiotic,abiotic
5952,-4.4900864279944,-13.3954761544444,abiotic,abiotic
5955,-4.71266322179545,-14.0403141855556,biotic,biotic
5957,-9.25867146851651,-12.7550597277778,abiotic,abiotic
5958,-9.28659129804362,-13.4601307333333,abiotic,abiotic
5959,-3.82165041973024,-13.5316699188889,biotic,biotic
5960,-3.65464977226186,-12.69113766,biotic,abiotic
