Analysis,diff2_acf1,avg_rR45CO244CO2,avg_R45CO244CO2,biotic,pred
2960,0.723942559711042,1.17695598666667,0.0118284601111111,biotic,biotic
2961,0.734317482936473,1.17887469811111,0.0118481013333333,biotic,biotic
2962,0.709178032312145,1.18001923222222,0.0118597222222222,biotic,abiotic
2963,0.73486654454544,1.178937144,0.0118485856666667,biotic,biotic
2965,0.724102624375132,1.17691026244444,0.0118314116666667,biotic,biotic
2966,0.702315074583893,1.17990736622222,0.0118581355555556,biotic,abiotic
2968,0.737471572424029,1.17962835066667,0.011859052,biotic,biotic
2970,0.721650577790355,1.17719942155556,0.0118313226666667,biotic,abiotic
2973,0.724197533467077,1.176757149,0.0118292284444444,biotic,biotic
2975,0.772404913324994,1.180776941,0.0118673581111111,biotic,abiotic
2976,0.731959114273137,1.17884756877778,0.0118484335555556,biotic,biotic
2977,0.723783479537742,1.17738802522222,0.0118338366666667,biotic,abiotic
2979,0.733570854746336,1.179674327,0.0118577593333333,biotic,biotic
2983,0.73184570009205,1.17860544077778,0.0118489591111111,biotic,biotic
2985,0.731773388935371,1.17935007566667,0.011856582,biotic,biotic
2986,0.727765982158005,1.17668053955556,0.0118301052222222,biotic,biotic
2989,0.760432715423714,1.18037506188889,0.0118663748888889,biotic,abiotic
2990,0.734575361336977,1.17951117788889,0.0118571137777778,biotic,biotic
2992,0.731436160055935,1.17877439555556,0.0118494665555556,biotic,biotic
2993,0.719217294094514,1.17682259888889,0.0118293345555556,biotic,biotic
2996,0.734123150665073,1.17885379933333,0.0118498012222222,biotic,biotic
2998,0.753710623560141,1.18044714444444,0.0118666922222222,biotic,biotic
3001,0.729727337990705,1.17686168944444,0.0118304912222222,biotic,biotic
3231,0.735480815023568,1.17996304933333,0.0118602631111111,abiotic,biotic
3232,0.720975844088103,1.17696597933333,0.0118303366666667,abiotic,biotic
3234,0.722483651362695,1.17671107911111,0.0118278873333333,abiotic,biotic
3240,0.687891832599888,1.17846621033333,0.0118487942222222,abiotic,abiotic
3241,0.732502771992135,1.17883282988889,0.011852008,abiotic,biotic
3242,0.729205564674951,1.178482754,0.0118485797777778,abiotic,abiotic
3250,0.7277659492201,1.17843632311111,0.0118482067777778,abiotic,abiotic
3253,0.727613553599399,1.17978065222222,0.0118602278888889,abiotic,abiotic
3255,0.71568661619307,1.177058279,0.0118273685555556,abiotic,abiotic
3256,0.714445337765199,1.17709573977778,0.0118273745555556,abiotic,abiotic
3257,0.728058175145081,1.17961898577778,0.0118600406666667,abiotic,abiotic
3259,0.727037342236797,1.17940076422222,0.0118516535555556,abiotic,abiotic
3260,0.726425644239322,1.17836578144444,0.0118485756666667,abiotic,abiotic
3261,0.708969556591545,1.177286014,0.0118299163333333,abiotic,abiotic
3267,0.727418257337432,1.18017812333333,0.0118601104444444,abiotic,abiotic
3268,0.709802079757058,1.17717064755556,0.0118297244444444,abiotic,abiotic
3269,0.713697328838022,1.17690607211111,0.0118270945555556,abiotic,abiotic
3272,0.708127014878273,1.17954077188889,0.0118538674444444,abiotic,abiotic
4922,0.798245059490677,1.17963897611111,0.0118419486666667,abiotic,abiotic
4924,0.725236705713969,1.18031365188889,0.0118511284444444,abiotic,abiotic
