avg_R45CO244CO2,avg_rR45CO244CO2,sd_d18O13C,diff2_acf1,fluctanal_prop_r1,time_kl_shift,Analysis,pred,biotic,prob_abiotic,prob_biotic
0.00720124121568,0.043359559043088,0.011507204662204,0.116805604857892,0.073640226285955,0.018461576337974,2961,biotic,biotic,0.108838698,0.891161302
0.014270346678342,0.01423325038895,0.075597022860338,0.027252494445018,0.039613216392945,0.008602698784627,2962,biotic,biotic,0.265666359,0.734333641
0.004725950297088,0.041657397591368,0.004942055487639,0.121016891740359,0.0672312418928,0.012950209583601,2963,biotic,biotic,0.14266243,0.85733757
0.002881892557792,0.07953471666927,0.009106791278615,0.074247404602523,0.063563918758205,0.020319749416161,2965,biotic,biotic,0.125152907,0.874847093
0.019816222235881,0.018803238227115,0.066545994137609,0.024302196492795,0.039242495888179,0.00667895433088,2966,biotic,biotic,0.2668535,0.7331465
-0.006705844969942,0.029627741359274,0.00467103790756,0.089307932750291,0.057802508369425,0.010109624998539,2968,biotic,biotic,0.196786974,0.803213026
-0.001829104654858,0.070234696044694,-0.002062311261073,0.051743351026033,0.061088357714645,0.023070573490145,2970,biotic,biotic,0.216177108,0.783822892
-0.000689607033072,0.032501526385229,-0.033276459073933,0.084188991699912,0.054337076156014,0.016854352178184,2972,biotic,biotic,0.279957436,0.720042564
0.01729088735396,0.084739325028763,0.002514392674628,0.078540547427662,0.067790583637261,0.017909157659733,2973,biotic,biotic,0.0914134,0.9085866
0.008442401390311,-0.026144201346508,0.086193542685094,0.009844126390685,0.002676555898866,-0.015059516401181,2975,biotic,biotic,0.444159665,0.555840335
0.008716694113869,0.046047114377502,0.010051748625378,0.114476265847914,0.072900297195706,0.01510247343533,2976,biotic,biotic,0.119924337,0.880075663
-0.003946254504108,0.072178738598625,-0.014351418490618,0.058048789807856,0.065561669195039,0.015064737519847,2977,biotic,biotic,0.209748433,0.790251567
0.010866735806463,0.043141876452876,0.007979662716117,0.122795067279873,0.072200945128998,0.020047206699728,2978,biotic,biotic,0.104007544,0.895992456
0.012243043753594,0.034957914591871,0.009469290360215,0.107593723086594,0.066775375523154,0.013871933885465,2979,biotic,biotic,0.11958609,0.88041391
0.020463699226012,0.023170905390027,0.002443176274929,0.085883195938312,0.057506226442754,-0.00767772412784,2981,biotic,biotic,0.172528886,0.827471114
0.003427530840269,0.033804899887253,-0.000329951731584,0.090884388923937,0.065101121477466,-0.010272411359784,2983,biotic,biotic,0.205820768,0.794179232
0.016001844244369,0.016056130291073,0.019808120640139,-0.001753356551604,0.045638770970004,0.000871623277953,2984,biotic,biotic,0.364934423,0.635065577
0.017223772527196,0.040786431253184,-0.005599217080482,0.099554632244267,0.068464416397098,0.010569663642674,2985,biotic,biotic,0.138060761,0.861939239
-0.001078877247346,0.070415057077638,-0.009837105427397,0.041773379494496,0.051353818052597,-0.015052122532026,2986,biotic,biotic,0.257061884,0.742938116
0.011337628044106,0.067661761623663,0.006284416542341,0.067835860982446,0.075386683830839,0.017742869267556,2987,biotic,biotic,0.088310066,0.911689934
0.019305773046689,0.040252801203309,-0.005730833253727,0.101102560150742,0.063386427484305,0.012294742329887,2988,biotic,biotic,0.113818531,0.886181469
0.008371904885695,-0.010360861130237,0.085759756388224,0.007463895703909,0.018413524235582,0.000720253851308,2989,biotic,biotic,0.319467867,0.680532133
0.022278281241659,0.043858719213796,0.010335020633232,0.112856110730329,0.077835114068854,0.016208819359938,2990,biotic,biotic,0.085917027,0.914082973
